Año Reporte ANID,Año publicación,L1,L2,L3,L4,Inter Línea,WoS,Indexación,DOI/ISBN /Link,Autor/a 1 COES,Autor/a 2 COES,Autor/a 3 COES,Autor/a 4 COES,Otros/as Auores/as ,Título,Journal/Editorial,Vol,Issue,Pags,Idioma,APA,Artículo,Libro,Capítulo libro,Documento de Trabajo,Otro,Redes Nac.,Redes Internac.,ECI,ELSOC,Género,Elites,Constituyente,Migraciones,Publicación relacionada a mini coes,Impacto 2012 (un año),Impacto 2013 ,Impacto 2014,Impacto 2015,Impacto 2016,Impacto 2017,Ranking 2013,Ranking 2015,Ranking 2016,Ranking 2017,Cuartil,Impacto 5 años (2013),Impacto 5 años (2015),Impacto 5 años (2016),Impacto 5 años (2017),Cuartil 2013,Cuartil 2015,Cuartil 2016,Cuartil 2017,Factor de impacto ,Cuartil journal (best JIF),Citas Google Scholar (al 9/08/ 2021),Top 10% (en alguno de los ranking),Año Reporte ANID,Subido a la Web,"Sociabilidad (redes sociales, capital social, sociabilidad urbana, vínculo social, etc.
Confianza interpersonales)"
2014,2013,1,0,0,0,0,1,WoS,http://doi.org/10.1093/cje/bet067,Kirsten Sehnbruch,,,,"B. Burchell, A. Piasna, N. Agloni","The quality of employment and decent work: definitions, methodologies, and ongoing debates",Cambridge Journal of Economics,38,2,459-477,Inglés,"Burchell, B.; Sehnbruch, K.; Piasna, A; Agloni, N. (2013). The quality of employment and decent work: definitions, methodologies, and ongoing debates. Cambridge Journal of Economics, 38(2), 459-477. http://doi.org/10.1093/cje/bet067",1,0,0,0,0,0,1,,,0,0,0,0,,"0,951","0,914","1,311","1,263",,,149/333 (Economics),108/345 (Economics),,,2,"1,545","1,486",,,2,2,,,0.914,,262,,2014,,0
2014,2014,0,1,0,0,0,0,No index,http://www.inegi.org.mx/RDE/rde_11/doctos/rde_11_art1.pdf ,Pablo González,,,,,"Bienestar subjetivo integral, capacidades y políticas públicas","Realidad, Datos y Espacio. Revista Internacional de Estadística y Geografía",,,4-15,Español,"González, P. (2014). Bienestar subjetivo integral, capacidades y políticas públicas. Realidad, Datos Y Espacio. Revista Internacional De Estadística Y Geografía, 4-15. Disponible en http://www.inegi.org.mx/RDE/rde_11/doctos/rde_11_art1.pdf ",1,0,0,0,0,0,0,,,0,0,0,0,,-,-,-,-,-,,-,-,-,,-,-,-,-,,-,-,-,,,,2,-,2014,,0
2014,2014,0,0,0,1,0,0,Latindex,No disponible,María Luisa Méndez,,,,,"Clases medias en América Latina desde una perspectiva culturalista: Sobre identidades, límites simbólicos y categorías de pertenencia",Revista Paraguaya de Sociología,51,145,135-146,Español,"Méndez, M. (2014). Clases medias en América Latina desde una perspectiva culturalista: Sobre identidades, límites simbólicos y categorías de pertenencia. Revista Paraguaya de Sociología, 51(145), 135-146.",1,0,0,0,0,0,0,,,0,0,0,0,,-,,,,,,,,,,,,,,,,,,,,,0,,2014,,0
2014,2014,0,0,0,1,0,0,Scopus,http://www.revista180.udp.cl/index.php/revista180/article/view/39,Matías Garretón,,,,,Derecho a la ciudad y participación frente al centralismo en Chile,Revista 180,34,,4-9,Español,"Garretón, M. (2014). Derecho a la ciudad y participación frente al centralismo en Chile. Revista 180, 34, 4-9.",1,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,4,,,,,,,,,0.111,2,5,S/I,2014,,0
2014,2014,0,0,0,1,0,1,WoS,http://dx.doi.org/10.4067/S0718-34022014000100011,Hugo Romero,,,,,Ecología política y represas: elementos para el análisis del Proyecto HidroAysén en la Patagonia chilena,Revista de Geografía Norte Grande,57,,161-175,Español,"Romero, H. (2014). Ecología política y represas: Elementos para el análisis del Proyecto HidroAysén en la Patagonia chilena Revista de Geografía Norte Grande, 57, 161-175. ",1,0,0,0,0,0,0,,,0,0,0,0,,"0,24","0,232","0,292",,,,71/76 Geography,,,,4,"0,288",,,,,,,,"0,292",,77,,2014,,0
2014,2014,1,0,0,0,0,0,BOOK,http://www.catalonia.cl/el-balance-politica-politicas-de-la-concertacion-19902010-p-3416.html,Kirsten Sehnbruch,,,,P. Siavelis,El Balance: 20 años de Concertación,"Catalonia, Santiago, Chile",,,,Español,"Sehnbruch, K.; Siavelis, P. (2014). El Balance: 20 años de Concertación. Santiago, Chile: Catalonia. ",0,1,0,0,0,0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,S/I,,2014,,0
2014,2014,1,0,0,0,0,0,BOOK(CH),http://www.catalonia.cl/el-balance-politica-politicas-de-la-concertacion-19902010-p-3416.html,Kirsten Sehnbruch,,,,,El Futuro de la Coalición del Arcoiris,"Catalonia, Santiago, Chile",,,,Español,"Sehnbruch, K. (2014). El Futuro de la Coalición del Arcoiris. In: Sehnbruch, K; Siavelis, P. (eds.) El Balance: 20 años de Concertación. Santiago, Chile: Catalonia. ",0,0,1,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,S/I,,2014,,0
2014,2014,0,0,0,1,0,1,WoS,http://dx.doi.org/10.4067/S0250-71612014000300012 ,Patricio Aroca,,,,"Rivera, N.",Escalas de producción en economías mineras. El caso de Chile en su dimensión regional,EURE,40,,247-270,Español,"Aroca, P. & Rivera, N. (2014). Escalas de producción en economías mineras. El caso de Chile en su dimensión regional. EURE, 40(), 247-270.",1,0,0,0,0,1,0,,,0,0,0,0,,"0,541","0,386","0,268",,,,33/38 Urban Studies,,,,3,"0,41",,,,,,,,0.268,4,23,,2014,,0
2014,2014,0,1,0,0,0,0,BOOK(CH),http://www.rileditores.com/catlogo-ril02/i3ugensw36/Debates-sobre-el-bienestar-y-la-felicidad,Pablo González,,,,,"Felicidad, subjetividad y desarrollo. En ""Debates sobre el bienestar y la felicidad""","RIL Editores (Santiago, Chile)",,,77-104,Español,"González, P. (2014). Felicidad, subjetividad y desarrollo. In J. C. Oyanedel & C. Mella (Eds.), Debates sobre el bienestar y la felicidad (pp. 77-104). Santiago, Chile: RIL Editores",0,0,1,0,0,0,0,,,0,0,0,0,,-,-,-,-,-,,-,-,-,,-,-,-,-,,-,-,-,,,,0,-,2014,,0
2014,2014,1,0,0,0,0,1,WoS,http://doi.org/10.1111/dpr.12052,Dante Contreras,,,,"O. Larrañaga, E. Puentes, T. Rau",Improving the Measurement of the Relationship between Opportunities and Income: Evidence from Longitudinal Data from Chile,Development Policy Review,32,2,219-237,Inglés,"Contreras, D.; Larrañaga, O.; Puentes, E.; Rau, T. (2014). Improving the Measurement of the Relationship between Opportunities and Income: Evidence from Longitudinal Data from Chile. Development Policy Review, 32(2), 219-237. http://doi.org/10.1111/dpr.12052 ",1,0,0,0,0,0,0,,,0,0,0,0,,"1,053","0,861","1,024","0,831",,,33/55 (Planning & Development),40/55 (Planning & Development),,,3,"1,25","1,118",,,3,3,,,1.024,,8,,2014,,0
2014,2014,1,0,0,0,0,0,BOOK(CH),http://www.pur-editions.fr/detail.php?idOuv=3646,Francisca Gutiérrez,,,,,L’évenement. Un élément clé pour l’analyse de l’engagement militant,"PUR, France",,,,Francés,"Gutiérrez, F. (2014). L’évenement. Un élément clé pour l’analyse de l’engagement militant. In: Ertul, S.; Melchior, J.; D'Épinay, C. (eds.) Subjectivation et redéfinition identitaire. France: PUR. ",0,0,1,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,S/I,,2014,,0
2014,2014,0,1,0,0,0,0,Latindex,No disponible,Emmanuelle Barozet,,,,"Fierro, J.",La clase media en Chile. Algunas implicancias sociales y políticas,Revista Paraguaya de Sociología,51,145,147-158,Español,"Barozet, E. & Fierro, J. (2014). La clase media en Chile. Algunas implicancias sociales y políticas. Revista Paraguaya de Sociología, 51 (145), 147-158.",1,0,0,0,0,0,1,,,0,0,0,0,,-,-,-,-,-,,-,-,-,,-,-,-,-,,-,-,-,,,,12,-,2014,,0
2014,2014,1,0,0,0,0,0,BOOK(CH),http://www.catalonia.cl/el-balance-politica-politicas-de-la-concertacion-19902010-p-3416.html,Kirsten Sehnbruch,,,,P. Siavelis,La vida política y económica bajo el arcoiris,"Catalonia, Santiago, Chile",,,,Español,"Sehnbruch, K.; Siavelis, P. (2014). La vida política y económica bajo el arcoiris. In: Sehnbruch, K; Siavelis, P. (eds.) El Balance: 20 años de Concertación. Santiago, Chile: Catalonia. ",0,0,1,0,0,0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,2014,,0
2014,2014,0,0,1,0,0,0,BOOK(CH),http://www.worldcat.org/title/derechos-humanos-posibilidades-teoricas-y-desafios-practicos/oclc/934656117,Javier Couso,,,,,Las democracias radicales y el ‘nuevo constitucionalismo latinoamericano’,Libraria/SELA (Buenos Aires),,,195-208,Español,"Couso, J. (2014). Las democracias radicales y el 'nuevo constitucionalismo latinoamericano. En Derechos Humanos: Posibilidades Teóricas y Desafíos Prácticos (pp. 193-208). Buenos Aires, Argentina: Libraria/SELA.",0,0,1,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,24,,2014,,0
2014,2014,0,1,0,0,0,0,Scielo,http://doi.org/10.4067/S0717-554X2014000300007,Emmanuelle Barozet,,,,"Mac-Clure, O. ",Nombrar y clasificar: aproximación a una epistemología de las ciencias sociales,Cinta de Moebio,51,,197-215,Español,"Barozet, E. & Mac-Clure, O. (2014). Nombrar y clasificar: aproximación a una epistemología de las ciencias sociales. Cinta de Moebio, 51, 197-215. Disponible con DOI: http://doi.org/10.4067/S0717-554X2014000300007",1,0,0,0,0,0,0,,,0,0,0,0,,-,-,-,-,-,,-,-,-,,-,-,-,-,,-,-,-,,,,22,-,2014,,0
2014,2014,1,0,0,0,0,0,BOOK(CH),https://www.wider.unu.edu/publication/falling-inequality-latin-america-0,Dante Contreras,,,,R. Ffrench-Davis,"Policy regimes, Inequality, Poverty and Growth: The Chilean Experience, 1973-2010",UNU-WIDER,,,,Inglés,"Contreras, D.; Ffrench-Davis, R. (2014). Policy Regimes, Inequality, Poverty and Growth: The Chilean Experience, 1973 - 2010. In: Cornia, G. (ed.) Falling Inequality in Latin America. UNU-WIDER.",0,0,1,0,0,0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,48,,2014,,0
2014,2014,1,0,0,0,0,0,BOOK(CH),http://www.catalonia.cl/el-balance-politica-politicas-de-la-concertacion-19902010-p-3416.html,Kirsten Sehnbruch,Dante Contreras,,,,Políticas sociales: ¿De deuda social a un estado de bienestar?,"Catalonia, Santiago, Chile",,,,Español,"Sehnbruch, K.; Contreras, D. (2014). Políticas Sociales: ¿De Deuda Social a un Estado de Bienestar? . In: Sehnbruch, K; Siavelis, P. (eds.) El Balance: 20 años de Concertación. Santiago, Chile: Catalonia. ",0,0,1,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,5,,2014,,0
2014,2014,0,0,0,1,0,0,Scopus,http://www.jstor.org/stable/23972440,Hugo Romero,,,,"Sasso, J.",Proyectos Hídricos y Ecología Política del Desarrollo en Latinoamérica: Hacia un Marco Analítico,European Review of Latin American and Caribbean Studies,97,,55-74,Español,"Romero, H. & Sasso, J. (2014). Proyectos hídricos y ecología política del desarrollo en Latinoamérica: Hacia un marco analítico. European Review of Latin American and Caribbean Studies, 97, 55-74. ",1,0,0,0,0,0,1,,,0,0,0,0,,-,,,,,,,,,,,,,,,,,,,0.145,2,33,,2014,,0
2014,2014,1,0,0,0,0,0,BOOK(CH),http://www.catalonia.cl/el-balance-politica-politicas-de-la-concertacion-19902010-p-3416.html,Kirsten Sehnbruch,,,,P. Siavelis,Reducción de la Pobreza: Éxito retórico o verdadero,"Catalonia, Santiago, Chile",,,,Español,"Sehnbruch, K.; Siavelis, P. (2014). Reducción de la Pobreza: Éxito Retórico o Verdadero. In: Sehnbruch, K; Siavelis, P. (eds.) El Balance: 20 años de Concertación. Santiago, Chile: Catalonia. ",0,0,1,0,0,0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,2014,,0
2014,2014,0,0,1,0,0,0,BOOK(CH),http://ediciones.udp.cl/la-religion-en-la-esfera-publica-chilena-ana-maria-stuven/,Javier Couso,,,,,Religión y República en la Era de las Teocracias Constitucionales: El Caso de Chile,Ediciones UDP,,,,Español,"Couso, J. (2015). Religión y República en la Era de las Teocracias Constitucionales: El Caso de Chile. En A. Stuven (Ed.), La religión en la esfera pública chilena, ¿Laicidad o secularización?. Santiago, Chile: Ediciones UDP.",0,0,1,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,S/I,,2014,,0
2014,2014,1,0,0,0,0,0,BOOK(CH),http://www.uqbareditores.cl/?s=catalogo&id=538,Claudia Sanhueza,,,,J. Lobos,Sistema Tributario Chileno: Características y Desafíos,"Uqbar (Santiago, Chile)",,,,Español,"Sanhueza, C.; Lobos, J. (2014). Sistema Tributario Chileno: Características y Desafíos. In: Atria, J. (ed.) Tributación en Sociedad: Impuestos y Redistribución en el Chile del Siglo XXI. Santiago, Chile: Uqbar editores. ",0,0,1,0,0,1,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,S/I,,2014,,0
2014,2014,0,1,0,0,0,0,Scopus,http://doi.org/10.1177/1746197914520650,Juan Carlos Castillo,Daniel Miranda,Macarena Bonhomme,,"Cox, C.; Bascopé, M. ",Social inequality and changes in students’ expected political participation in Chile,"Education, Citizenship and Social Justice",9,2,140-156,Inglés,"Castillo, J. C., Miranda, D., Bonhomme, M., Cox, C., & Bascope, M. (2014). Social inequality and changes in students' expected political participation in Chile. Education, Citizenship and Social Justice, 9(2), 140-156. Disponible con DOI: 10.1177/1746197914520650 ",1,0,0,0,0,0,0,,,0,0,0,0,,-,-,-,-,-,,-,-,-,,-,-,-,-,,-,-,-,,0.185,4,25,-,2014,,1
2014,2014,0,1,0,0,0,0,DOAJ,http://contentionjournal.org/wp-content/uploads/2014/12/FigueiredoSilvaDec2014.pdf ,Ana Figueiredo,,,,"Silva, J. ",The abortion referendum in Portugal: The influence of psychosocial variables in the voting intentions and behaviour of Portuguese youth,Contention: The Multidisciplinary Journal of Social Protest,2,1,5-24,Inglés,"Figueiredo, A., & Silva, J. (2014). The abortion referendum in Portugal: The influence of psychosocial variables in the voting intentions and behaviour of Portuguese youth. Contention: The Multidisciplinary Journal of Social Protest, 2(1), 5-24.  Disponible en http://contentionjournal.org/wp-content/uploads/2014/12/FigueiredoSilvaDec2014.pdf ",1,0,0,0,0,0,1,,,0,0,0,0,,-,-,-,-,-,,-,-,-,,-,-,-,-,,-,-,-,,,,0,-,2014,,1
2014,2014,0,1,0,0,0,1,WoS,10.1016/j.adolescence.2014.07.002,Paula Luengo,,,,"Pastorelli C.; Zuffianò, A.; Eisenberg, N.; Ceravolo, R.; Caprara, G.V. ",Trajectories of prosocial behaviors conducive to civic outcomes during the transition to adulthood: The predictive role of family dynamics,Journal of Adolescence,37,8,1529-1539,Inglés,"Luengo, B. P., Pastorelli, C., Zuffianò, A., Eisenberg, N., Ceravolo, R., & Caprara, G. V. (2014). Trajectories of prosocial behaviors conducive to civic outcomes during the transition to adulthood: The predictive role of family dynamics. Journal of Adolescence, 37(8), 1529-1539. Disponible con DOI: 10.1016/j.adolescence.2014.07.002 ",1,0,0,0,0,0,1,,,0,0,0,0,,"1,882","1,638","1,957","2,007","1,795",,"34/65 (Psychology, Developmental)","25/69 (Psychology, Developmental)","36/70 (Psychology, Developmental)",,-,"2,288","2,704","2,84",,3,2,3,,1.957,2,14,0,2014,,1
